#    Name  Dimensions            Strides                         
----+------+----------------------+---------------------------------
1    src0  [4096, 151936, 1, 1]  [18, 2304, 350060544, 350060544]
2    src1  [1, 1, 1, 1]          [4, 4, 4, 4]                    
3    dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
4    src0  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
5    dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
6    src0  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
7    src1  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
8    dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
9    src0  [4096, 4096, 1, 1]    [18, 2304, 9437184, 9437184]    
10   src1  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
11   dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
12   src0  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
13   dst   [128, 32, 1, 1]       [4, 512, 16384, 16384]          
14   src0  [128, 32, 1, 1]       [4, 512, 16384, 16384]          
15   dst   [128, 32, 1, 1]       [4, 512, 16384, 16384]          
16   src0  [128, 32, 1, 1]       [4, 512, 16384, 16384]          
17   src1  [128, 1, 1, 1]        [4, 512, 512, 512]              
18   dst   [128, 32, 1, 1]       [4, 512, 16384, 16384]          
19   src0  [128, 32, 1, 1]       [4, 512, 16384, 16384]          
20   src1  [1, 1, 1, 1]          [4, 4, 4, 4]                    
21   dst   [128, 32, 1, 1]       [4, 512, 16384, 16384]          
22   src0  [4096, 1024, 1, 1]    [18, 2304, 2359296, 2359296]    
23   src1  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
24   dst   [1024, 1, 1, 1]       [4, 4096, 4096, 4096]           
25   src0  [1024, 1, 1, 1]       [4, 4096, 4096, 4096]           
26   dst   [128, 8, 1, 1]        [4, 512, 4096, 4096]            
27   src0  [128, 8, 1, 1]        [4, 512, 4096, 4096]            
28   dst   [128, 8, 1, 1]        [4, 512, 4096, 4096]            
29   src0  [128, 8, 1, 1]        [4, 512, 4096, 4096]            
30   src1  [128, 1, 1, 1]        [4, 512, 512, 512]              
31   dst   [128, 8, 1, 1]        [4, 512, 4096, 4096]            
32   src0  [128, 8, 1, 1]        [4, 512, 4096, 4096]            
33   src1  [1, 1, 1, 1]          [4, 4, 4, 4]                    
34   dst   [128, 8, 1, 1]        [4, 512, 4096, 4096]            
35   src0  [4096, 1024, 1, 1]    [18, 2304, 2359296, 2359296]    
36   src1  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
37   dst   [1024, 1, 1, 1]       [4, 4096, 4096, 4096]           
38   src0  [1024, 1, 1, 1]       [4, 4096, 4096, 4096]           
39   dst   [128, 8, 1, 1]        [4, 512, 4096, 4096]            
40   src0  [1024, 4096, 1, 1]    [2, 2048, 8388608, 8388608]     
41   dst   [1024, 1, 1, 1]       [2, 2048, 2048, 2048]           
42   src0  [1024, 4096, 1, 1]    [2, 2048, 8388608, 8388608]     
43   dst   [1024, 1, 1, 1]       [2, 2048, 2048, 2048]           
44   src0  [1024, 1, 1, 1]       [4, 4096, 4096, 4096]           
45   dst   [1024, 1, 1, 1]       [4, 4096, 4096, 4096]           
46   src0  [1024, 1, 1, 1]       [4, 4096, 4096, 4096]           
47   dst   [1, 1024, 1, 1]       [4096, 4, 4096, 4096]           
48   src0  [1024, 4096, 1, 1]    [2, 2048, 8388608, 8388608]     
49   dst   [1, 1024, 1, 1]       [2, 8192, 8388608, 8388608]     
50   src0  [1024, 4096, 1, 1]    [2, 2048, 8388608, 8388608]     
51   dst   [1, 1024, 1, 1]       [2, 8192, 8388608, 8388608]     
52   src0  [1024, 4096, 1, 1]    [2, 2048, 8388608, 8388608]     
53   dst   [288, 8, 128, 1]      [2, 1048576, 8192, 1048576]     
54   src0  [1024, 4096, 1, 1]    [2, 2048, 8388608, 8388608]     
55   dst   [288, 128, 8, 1]      [2, 8192, 1048576, 1048576]     
56   src0  [1024, 4096, 1, 1]    [2, 2048, 8388608, 8388608]     
57   dst   [128, 8, 288, 1]      [2, 256, 2048, 589824]          
58   src0  [1024, 4096, 1, 1]    [2, 2048, 8388608, 8388608]     
59   dst   [128, 288, 8, 1]      [2, 2048, 256, 589824]          
60   src0  [128, 32, 1, 1]       [4, 512, 16384, 16384]          
61   dst   [128, 1, 32, 1]       [4, 16384, 512, 16384]          
62   src0  [128, 288, 8, 1]      [2, 2048, 256, 589824]          
63   src1  [128, 1, 32, 1]       [4, 16384, 512, 16384]          
64   dst   [288, 1, 32, 1]       [4, 1152, 1152, 36864]          
65   src0  [288, 1, 32, 1]       [4, 1152, 1152, 36864]          
66   src1  [288, 64, 1, 1]       [4, 1152, 73728, 73728]         
67   dst   [288, 1, 32, 1]       [4, 1152, 1152, 36864]          
68   src0  [288, 128, 8, 1]      [2, 8192, 1048576, 1048576]     
69   src1  [288, 1, 32, 1]       [4, 1152, 1152, 36864]          
70   dst   [128, 1, 32, 1]       [4, 512, 512, 16384]            
71   src0  [128, 1, 32, 1]       [4, 512, 512, 16384]            
72   dst   [128, 32, 1, 1]       [4, 512, 512, 16384]            
73   src0  [128, 32, 1, 1]       [4, 512, 512, 16384]            
74   dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
75   src0  [4096, 4096, 1, 1]    [18, 2304, 9437184, 9437184]    
76   src1  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
77   dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
78   src0  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
79   src1  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
80   dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
81   src0  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
82   dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
83   src0  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
84   src1  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
85   dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
86   src0  [4096, 12288, 1, 1]   [18, 2304, 28311552, 28311552]  
87   src1  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
88   dst   [12288, 1, 1, 1]      [4, 49152, 49152, 49152]        
89   src0  [12288, 1, 1, 1]      [4, 49152, 49152, 49152]        
90   dst   [12288, 1, 1, 1]      [4, 49152, 49152, 49152]        
91   src0  [4096, 12288, 1, 1]   [18, 2304, 28311552, 28311552]  
92   src1  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
93   dst   [12288, 1, 1, 1]      [4, 49152, 49152, 49152]        
94   src0  [12288, 1, 1, 1]      [4, 49152, 49152, 49152]        
95   src1  [12288, 1, 1, 1]      [4, 49152, 49152, 49152]        
96   dst   [12288, 1, 1, 1]      [4, 49152, 49152, 49152]        
97   src0  [12288, 4096, 1, 1]   [18, 6912, 28311552, 28311552]  
98   src1  [12288, 1, 1, 1]      [4, 49152, 49152, 49152]        
99   dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
100  src0  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
101  src1  [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        
102  dst   [4096, 1, 1, 1]       [4, 16384, 16384, 16384]        

Total: 102 record(s)
